percorso,periodo,utilita,tipo,azione_attesa,sha256,motivazione
corpus/active/database/dump_oracle_ddl.sql,corrente,utile,oracle_ddl,estrarre,7ccd98402368b929551d427ec71c6e05550c140cc5136299fbfa5c1ebaf320a5,"Schema legacy con PK, FK, view e indici."
corpus/active/plsql/prc_assegna_tecnico.sql,corrente,utile,plsql,estrarre,9e1e5f54f3a2b1155fdbb1950d708f1436e0be2ed81286d270c68e61572455be,Procedura di assegnazione e dipendenze conservative.
corpus/active/plsql/trg_chiudi_intervento.sql,corrente,utile,plsql,estrarre_con_cautela,e8767c63abd5ef1e9e788e2d7cc6867cbba37ad5942b451d1a7dc31471675324,Trigger supportato con regola di dominio non interamente deducibile.
corpus/active/forms/frm_intervento.xml,corrente,utile,oracle_forms_xml,estrarre,94d2eb30d987bb471e9d3eaebd7368322bc12e0bff0bb434594731d69ca9900c,"Campi, pulsanti e riferimenti a tabelle."
corpus/active/logs/interventi_2026.log,corrente,utile,log,osservare_non_promuovere,71abdaf13a0bef4c711af723f028c096cd73cf68f67517ecbc76dba8770fa2a9,"Eventi normali, warning, errore e timestamp con timezone nel messaggio."
corpus/active/documenti/nuovi_utili/requisiti_modernizzazione_2026.md,corrente_aperto,utile,markdown,interpretare_e_revisionare,bac9c6000691667a0f44a9a7b2fa5f9a905a2680761399a71c6c7108b6245a2d,"Requisiti discorsivi, asserto troppo forte e decisioni pending."
corpus/active/documenti/nuovi_utili/decorrenza_servizio_2026.txt,corrente_aperto,utile,text,interpretare_e_concordare,856e750fae97bc4e9b8de34f28dd78f61f64a2e044cd0219daf8c33825119d87,Seconda attestazione indipendente di decorrenza e checklist.
corpus/active/documenti/nuovi_utili/manuale_operativo_2026.docx,corrente_metadata_incoerente,utile,docx,interpretare_rifiutando_metadata,f0fbdea488748b5209aeb6e36b4b22d332426dbf61c0fdaefc3af7939a29fe87,Manuale corrente con proprietà OOXML volutamente storiche.
corpus/active/documenti/nuovi_utili/matrice_stati_sla_2026.xlsx,corrente,utile,xlsx,estrarre_regioni,da6ed7576bafaf4801f3ff78fbfe178531206b6f71b011a0b10a1d20605bdb2b,"Workbook ricco con formule, visibilità, named range e link esterno inventariato."
corpus/active/documenti/nuovi_utili/calcolo_sla_macro_2026.xlsm,corrente,utile,xlsm,estrarre_senza_eseguire_macro,55e861fb24a95f894ddac3f33511ef6bfb7e8f3a6e77bbd732d7f99a75fba9ec,Workbook macro-enabled con vbaProject.bin sintetico e inerte.
corpus/active/documenti/nuovi_utili/architettura_integrazioni_2026.pptx,corrente_metadata_incoerente,utile,pptx,interpretare_e_lasciare_pending,a3e4d653fe0c88585952a53de7adece8b8c0fffaabf5e6f1dc32431dd044ace6,"Architettura proposta, non decisione, con metadati incoerenti."
corpus/active/documenti/vecchi_utili/accordo_sla_2025.pdf,storico_chiuso,utile,pdf,interpretare_come_storico,1dc431c8fdda01021e15e3986c7f52f2cde34f120e5a6c4285f9734facc4cfbf,"Accordo SLA storico, sostituito dal quadro 2026."
corpus/active/documenti/vecchi_utili/procedura_assegnazione_2023.html,storico_chiuso,utile,html,rifiutare_regola_obsoleta,68eeec050dda992366e061a5307c7601777faefac039eac5dbb759f74fbf1d32,Procedura storica con intervallo esplicito e conflitto col processo corrente.
corpus/active/documenti/vecchi_non_utili/inventario_arredi_2022.txt,storico,non_utile,text,escludere_dal_dominio,e76bcce9abf196b638b23ce502b3a354b4df7d94294d168648018218ba1a6757,Rumore storico non pertinente.
corpus/active/documenti/nuovi_non_utili/istruzioni_parcheggio_2026.html,corrente,non_utile,html,escludere_dal_dominio,a15735a30719e4d8b9456959583c72a09d32b2b49985874fb1c476b38b00ba3c,Rumore recente non pertinente.
materiale_di_supporto/fixture_controllate/ai_response_orione_assistenza_controllata.jsonl,replay,controllata,jsonl,verificare_prima_del_replay,a60b8dbc58d36fc0bf7f2c3f284013badeff4467d5f1b0e8c3c8581cad2a3ad8,Risposta AI congelata; non e' una chiamata a un modello.
materiale_di_supporto/fixture_controllate/workbook_malformed_controllato.xlsx,controllato,non_operativa,xlsx_malformed,attendere_rifiuto,4e5d8ca662425af22fd8862af3f6ccfc80d373f73b9906d216836bd4bf116f54,ZIP volutamente troncato per il percorso di rifiuto.
materiale_di_supporto/fixture_controllate/workbook_partial_controllato.xlsx,controllato,non_operativa,xlsx_partial,usare_solo_con_worker_controllato,657d575d8470decbd1c1fb6655c3f450a4baa9117be507e271765ea754cf1fe5,"Workbook valido per il contratto partial_success iniettato, non fonte operativa."
